DATE,SPUSBOND,,,,,,,,
10/28/10,372.68,,,,,,,,
10/29/10,373.56,,,,,,,,
11/1/10,373.47,,,,,,,,
11/2/10,374.03,,,,,,,,
11/3/10,374.11,,,,,,,,
11/4/10,375.26,,,,,,,,
11/5/10,374.18,,,,,,,,
11/8/10,374.05,,,,,,,,
11/9/10,372.23,,,,,,,,
11/10/10,372.76,,,,,,,,
11/12/10,371.16,,,,,,,,
11/15/10,368.99,,,,,,,,
11/16/10,370.34,,,,,,,,
11/17/10,370.05,,,,,,,,
11/18/10,369.78,,,,,,,,
11/19/10,369.97,,,,,,,,
11/22/10,370.97,,,,,,,,
11/23/10,371.47,,,,,,,,
11/24/10,369.49,,,,,,,,
11/26/10,370.23,,,,,,,,
11/29/10,370.72,,,,,,,,
11/30/10,371.26,,,,,,,,
12/1/10,368.87,,,,,,,,
12/2/10,368.46,,,,,,,,
12/3/10,368.72,,,,,,,,
12/6/10,370.03,,,,,,,,
12/7/10,367.28,,,,,,,,
12/8/10,365.75,,,,,,,,
12/9/10,365.66,,,,,,,,
12/10/10,364.67,,,,,,,,
12/13/10,365.39,,,,,,,,
12/14/10,363.71,,,,,,,,
12/15/10,362.94,,,,,,,,
12/16/10,363.65,,,,,,,,
12/17/10,365.2,,,,,,,,
12/20/10,365.25,,,,,,,,
12/21/10,365.43,,,,,,,,
12/22/10,364.92,,,,,,,,
12/23/10,364.45,,,,,,,,
12/27/10,364.89,,,,,,,,
12/28/10,363.11,,,,,,,,
12/29/10,365.16,,,,,,,,
12/30/10,364.89,,,,,,,,
12/31/10,365.92,,,,,,,,
1/3/11,365.45,,,,,,,,
1/4/11,365.6,,,,,,,,
1/5/11,363.69,,,,,,,,
1/6/11,364.36,,,,,,,,
1/7/11,365.63,,,,,,,,
1/10/11,366.27,,,,,,,,
1/11/11,365.67,,,,,,,,
1/12/11,365.27,,,,,,,,
1/13/11,366.3,,,,,,,,
1/14/11,365.95,,,,,,,,
1/18/11,365.54,,,,,,,,
1/19/11,365.95,,,,,,,,
1/20/11,364.59,,,,,,,,
1/21/11,365.13,,,,,,,,
1/24/11,365.14,,,,,,,,
1/25/11,366.13,,,,,,,,
1/26/11,365.11,,,,,,,,
1/27/11,365.66,,,,,,,,
1/28/11,366.62,,,,,,,,
1/31/11,365.96,,,,,,,,
2/1/11,365.12,,,,,,,,
2/2/11,364.53,,,,,,,,
2/3/11,363.57,,,,,,,,
2/4/11,362.42,,,,,,,,
2/7/11,362.33,,,,,,,,
2/8/11,361.15,,,,,,,,
2/9/11,361.98,,,,,,,,
2/10/11,361.25,,,,,,,,
2/11/11,362.08,,,,,,,,
2/14/11,362.11,,,,,,,,
2/15/11,362.49,,,,,,,,
2/16/11,362.29,,,,,,,,
2/17/11,362.98,,,,,,,,
2/18/11,363.04,,,,,,,,
2/22/11,364.74,,,,,,,,
2/23/11,364.51,,,,,,,,
2/24/11,364.84,,,,,,,,
2/25/11,365.4,,,,,,,,
2/28/11,365.66,,,,,,,,
3/1/11,365.98,,,,,,,,
3/2/11,364.95,,,,,,,,
3/3/11,363.52,,,,,,,,
3/4/11,364.91,,,,,,,,
3/7/11,364.56,,,,,,,,
3/8/11,364.14,,,,,,,,
3/9/11,365.05,,,,,,,,
3/10/11,366.57,,,,,,,,
3/11/11,366.36,,,,,,,,
3/14/11,366.84,,,,,,,,
3/15/11,367.46,,,,,,,,
3/16/11,368.98,,,,,,,,
3/17/11,368.28,,,,,,,,
3/18/11,368.1,,,,,,,,
3/21/11,367.22,,,,,,,,
3/22/11,367.19,,,,,,,,
3/23/11,367.03,,,,,,,,
3/24/11,366.14,,,,,,,,
3/25/11,365.66,,,,,,,,
3/28/11,365.56,,,,,,,,
3/29/11,364.96,,,,,,,,
3/30/11,365.62,,,,,,,,
3/31/11,365.2,,,,,,,,
4/1/11,365.52,,,,,,,,
4/4/11,366.01,,,,,,,,
4/5/11,365.16,,,,,,,,
4/6/11,364.27,,,,,,,,
4/7/11,364.56,,,,,,,,
4/8/11,364.12,,,,,,,,
4/11/11,364.19,,,,,,,,
4/12/11,365.43,,,,,,,,
4/13/11,365.99,,,,,,,,
4/14/11,365.56,,,,,,,,
4/15/11,366.88,,,,,,,,
4/18/11,367.44,,,,,,,,
4/19/11,367.66,,,,,,,,
4/20/11,367.06,,,,,,,,
4/21/11,366.91,,,,,,,,
4/25/11,367.66,,,,,,,,
4/26/11,368.47,,,,,,,,
4/27/11,368.05,,,,,,,,
4/28/11,368.79,,,,,,,,
4/29/11,369.19,,,,,,,,
5/2/11,369.28,,,,,,,,
5/3/11,369.64,,,,,,,,
5/4/11,370.02,,,,,,,,
5/5/11,370.83,,,,,,,,
5/6/11,370.9,,,,,,,,
5/9/11,371.14,,,,,,,,
5/10/11,370.3,,,,,,,,
5/11/11,370.96,,,,,,,,
5/12/11,370.6,,,,,,,,
5/13/11,371.23,,,,,,,,
5/16/11,371.74,,,,,,,,
5/17/11,372.3,,,,,,,,
5/18/11,371.27,,,,,,,,
5/19/11,371.51,,,,,,,,
5/20/11,371.82,,,,,,,,
5/23/11,372.08,,,,,,,,
5/24/11,372.31,,,,,,,,
5/25/11,372.27,,,,,,,,
5/26/11,373.3,,,,,,,,
5/27/11,373.33,,,,,,,,
5/31/11,373.64,,,,,,,,
6/1/11,375.06,,,,,,,,
