DATE,SP57BOND,,,,,,,,
12/16/09,404.76,,,,,,,,
12/17/09,407.23,,,,,,,,
12/18/09,405.83,,,,,,,,
12/21/09,403.07,,,,,,,,
12/22/09,401.86,,,,,,,,
12/23/09,401.5,,,,,,,,
12/24/09,400.22,,,,,,,,
12/28/09,399.51,,,,,,,,
12/29/09,399.89,,,,,,,,
12/30/09,400.33,,,,,,,,
12/31/09,398.88,,,,,,,,
1/4/10,399.82,,,,,,,,
1/5/10,401.33,,,,,,,,
1/6/10,400.55,,,,,,,,
1/7/10,400.17,,,,,,,,
1/8/10,401,,,,,,,,
1/11/10,401.26,,,,,,,,
1/12/10,403.38,,,,,,,,
1/13/10,401.98,,,,,,,,
1/14/10,403.18,,,,,,,,
1/15/10,404.5,,,,,,,,
1/19/10,403.98,,,,,,,,
1/20/10,404.93,,,,,,,,
1/21/10,406.04,,,,,,,,
1/22/10,406.49,,,,,,,,
1/25/10,405.99,,,,,,,,
1/26/10,406.47,,,,,,,,
1/27/10,405.55,,,,,,,,
1/28/10,405.79,,,,,,,,
1/29/10,406.98,,,,,,,,
2/1/10,406,,,,,,,,
2/2/10,406.75,,,,,,,,
2/3/10,405.61,,,,,,,,
2/4/10,408.13,,,,,,,,
2/5/10,409.25,,,,,,,,
2/8/10,409.01,,,,,,,,
2/9/10,407.72,,,,,,,,
2/10/10,406.62,,,,,,,,
2/11/10,406.46,,,,,,,,
2/12/10,407.53,,,,,,,,
2/16/10,407.91,,,,,,,,
2/17/10,405.97,,,,,,,,
2/18/10,404.76,,,,,,,,
2/19/10,404.53,,,,,,,,
2/22/10,404.64,,,,,,,,
2/23/10,407.18,,,,,,,,
2/24/10,407.14,,,,,,,,
2/25/10,408.53,,,,,,,,
2/26/10,409.12,,,,,,,,
3/1/10,409.49,,,,,,,,
3/2/10,409.63,,,,,,,,
3/3/10,409.56,,,,,,,,
3/4/10,409.96,,,,,,,,
3/5/10,408.41,,,,,,,,
3/8/10,407.79,,,,,,,,
3/9/10,408.71,,,,,,,,
3/10/10,407.93,,,,,,,,
3/11/10,407.4,,,,,,,,
3/12/10,407.68,,,,,,,,
3/15/10,407.41,,,,,,,,
3/16/10,409.04,,,,,,,,
3/17/10,409.11,,,,,,,,
3/18/10,408.15,,,,,,,,
3/19/10,407.57,,,,,,,,
3/22/10,408.43,,,,,,,,
3/23/10,408.39,,,,,,,,
3/24/10,404.78,,,,,,,,
3/25/10,403.75,,,,,,,,
3/26/10,404.63,,,,,,,,
3/29/10,404.25,,,,,,,,
3/30/10,404.61,,,,,,,,
3/31/10,405.45,,,,,,,,
4/1/10,404.8,,,,,,,,
4/2/10,403.19,,,,,,,,
4/5/10,402.97,,,,,,,,
4/6/10,403.75,,,,,,,,
4/7/10,405.8,,,,,,,,
4/8/10,405.38,,,,,,,,
4/9/10,405.7,,,,,,,,
4/12/10,406.66,,,,,,,,
4/13/10,407.23,,,,,,,,
4/14/10,406.59,,,,,,,,
4/15/10,407.23,,,,,,,,
4/16/10,409.26,,,,,,,,
4/19/10,408.42,,,,,,,,
4/20/10,408.24,,,,,,,,
4/21/10,409.2,,,,,,,,
4/22/10,408.27,,,,,,,,
4/23/10,407.35,,,,,,,,
4/26/10,407.86,,,,,,,,
4/27/10,411.24,,,,,,,,
4/28/10,409.28,,,,,,,,
4/29/10,409.95,,,,,,,,
4/30/10,411.76,,,,,,,,
5/3/10,410.72,,,,,,,,
5/4/10,412.8,,,,,,,,
5/5/10,414.37,,,,,,,,
5/6/10,419.26,,,,,,,,
5/7/10,417.04,,,,,,,,
5/10/10,414.62,,,,,,,,
5/11/10,415.18,,,,,,,,
5/12/10,414.23,,,,,,,,
5/13/10,415.1,,,,,,,,
5/14/10,417.4,,,,,,,,
5/17/10,416.63,,,,,,,,
5/18/10,418.89,,,,,,,,
5/19/10,418.8,,,,,,,,
5/20/10,421.91,,,,,,,,
5/21/10,421.78,,,,,,,,
5/24/10,421.68,,,,,,,,
5/25/10,422.79,,,,,,,,
5/26/10,421.76,,,,,,,,
5/27/10,418.83,,,,,,,,
5/28/10,419.97,,,,,,,,
6/1/10,421.05,,,,,,,,
6/2/10,419.27,,,,,,,,
6/3/10,418.83,,,,,,,,
6/4/10,423.04,,,,,,,,
6/7/10,424.34,,,,,,,,
6/8/10,423.36,,,,,,,,
6/9/10,423.42,,,,,,,,
6/10/10,420.4,,,,,,,,
6/11/10,422.47,,,,,,,,
6/14/10,421.95,,,,,,,,
6/15/10,420.92,,,,,,,,
6/16/10,421.81,,,,,,,,
6/17/10,423.15,,,,,,,,
6/18/10,422.66,,,,,,,,
6/21/10,422.32,,,,,,,,
6/22/10,424.38,,,,,,,,
6/23/10,425.54,,,,,,,,
6/24/10,425.5,,,,,,,,
6/25/10,426.28,,,,,,,,
6/28/10,428.31,,,,,,,,
6/29/10,429.61,,,,,,,,
6/30/10,429.79,,,,,,,,
7/1/10,429.4,,,,,,,,
7/2/10,429.04,,,,,,,,
7/6/10,430.12,,,,,,,,
7/7/10,429.42,,,,,,,,
7/8/10,428.74,,,,,,,,
7/9/10,427.99,,,,,,,,
7/12/10,428.34,,,,,,,,
7/13/10,427.04,,,,,,,,
7/14/10,428.81,,,,,,,,
7/15/10,430.36,,,,,,,,
7/16/10,432.18,,,,,,,,
7/19/10,431.52,,,,,,,,
7/20/10,431.93,,,,,,,,
7/21/10,433.46,,,,,,,,
7/22/10,432.32,,,,,,,,
7/23/10,430.97,,,,,,,,
7/26/10,430.84,,,,,,,,
7/27/10,429.56,,,,,,,,
7/28/10,431.48,,,,,,,,
7/29/10,432.74,,,,,,,,
7/30/10,434.64,,,,,,,,
8/2/10,433.67,,,,,,,,
8/3/10,435.83,,,,,,,,
8/4/10,434.28,,,,,,,,
8/5/10,435.52,,,,,,,,
8/6/10,437.38,,,,,,,,
8/9/10,437.14,,,,,,,,
8/10/10,439.14,,,,,,,,
8/11/10,440.43,,,,,,,,
8/12/10,439.43,,,,,,,,
8/13/10,440.48,,,,,,,,
8/16/10,442.16,,,,,,,,
8/17/10,441.01,,,,,,,,
8/18/10,440.7,,,,,,,,
8/19/10,441.87,,,,,,,,
8/20/10,440.38,,,,,,,,
8/23/10,441.35,,,,,,,,
8/24/10,443.49,,,,,,,,
8/25/10,442.25,,,,,,,,
8/26/10,443.03,,,,,,,,
8/27/10,439.89,,,,,,,,
8/30/10,443.07,,,,,,,,
8/31/10,443.91,,,,,,,,
9/1/10,442.06,,,,,,,,
9/2/10,440.97,,,,,,,,
9/3/10,439.58,,,,,,,,
